ID,Groups,Description,Baseline [06-21 20:51]
,TomAnalyzer > core kernel analysis json,should contain all analyzer elements from core kernel,X/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates bit flag constants,X/OK
,TomAnalyzer > self analysis json,should contain all analyzer elements from the package,X/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has proper Dart syntax markers,OK/OK
,ReflectionAnalysisResult,packageLibraries is empty by default,OK/OK
,ReflectionAnalysisResult,libraryTypes is empty by default,OK/OK
,EntryPointAnalyzer,creates with config,OK/OK
,EntryPointAnalyzer,returns empty result for empty entry points,OK/OK
,EntryPointAnalyzer,creates inclusion resolver from config,OK/OK
,EntryPointAnalyzer configuration,respects exclude_packages in defaults,OK/OK
,EntryPointAnalyzer configuration,respects include_packages in defaults,OK/OK
,EntryPointAnalyzer configuration,applies filters in order,OK/OK
,EntryPointAnalyzer configuration,uses dependency config,OK/OK
,EntryPointAnalyzer path handling,handles relative paths,OK/OK
,EntryPointAnalyzer path handling,handles absolute paths,OK/OK
,ReflectionConfig > fromMap,parses minimal configuration,OK/OK
,ReflectionConfig > fromMap,parses complete configuration,OK/OK
,ReflectionConfig > fromMap,handles empty configuration,OK/OK
,ReflectionConfig > getOutputPathFor,derives output from entry point,OK/OK
,ReflectionConfig > getOutputPathFor,derives output from entry point when no output specified,OK/OK
,ReflectionConfig > getOutputPathFor,handles entry point with .dart extension,OK/OK
,ReflectionConfig > getOutputPathFor,handles entry point without .dart extension,OK/OK
,ReflectionConfig > shouldCombineOutput,returns false for single entry point,OK/OK
,ReflectionConfig > hasMultipleEntryPoints,returns true for multiple entry points,OK/OK
,ReflectionConfig > hasMultipleEntryPoints,returns false for empty entry points,OK/OK
,ReflectionConfig > shouldCombineOutput,returns true when output is specified with multiple entries,OK/OK
,ReflectionConfig > shouldCombineOutput,returns false when no output specified,OK/OK
,ReflectionDefaults,parses from map,OK/OK
,ReflectionDefaults,handles empty map,OK/OK
,ReflectionFilter,parses include filter,OK/OK
,ReflectionFilter,parses exclude filter,OK/OK
,ReflectionFilter,parses element identifiers,OK/OK
,ReflectionFilter,handles hasSelectors,OK/OK
,DependencyConfig,parses superclass config,OK/OK
,DependencyConfig,parses interface config,OK/OK
,DependencyConfig,parses mixin config,OK/OK
,CoverageConfig,defaults are correct,OK/OK
,CoverageConfig,parses instance members config,OK/OK
,CoverageConfig,parses constructors config,OK/OK
,CoverageConfig,parses top level config,OK/OK
,CoverageConfig,parses static members config,OK/OK
,ReflectionGenerator > constructor,creates generator with config,OK/OK
,ReflectionGenerator > fromMap factory,creates generator from minimal map,OK/OK
,ReflectionGenerator > fromMap factory,creates generator with entry points,OK/OK
,ReflectionGenerator > fromMap factory,creates generator with output path,OK/OK
,ReflectionGenerator > fromMap factory,creates generator with filters,OK/OK
,ReflectionGenerator > config access,config returns the configuration,OK/OK
,ReflectionGenerator > config access,config has expected default values,OK/OK
,ReflectionGenerator > configuration integration,generator respects defaults.excludePackages config,OK/OK
,ReflectionGenerator > configuration integration,generator respects defaults.includePackages config,OK/OK
,ReflectionGenerator > configuration integration,generator respects dependency_config,OK/OK
,ReflectionGenerator > multiple entry points,generator accepts multiple entry points,OK/OK
,ReflectionGenerator > multiple entry points,generator accepts glob patterns in entry points,OK/OK
,ReflectionGenerator > filter combinations,generator with include filters,OK/OK
,ReflectionGenerator > filter combinations,generator with exclude filters,OK/OK
,ReflectionGenerator > filter combinations,generator with mixed filters,OK/OK
,ReflectionGenerator > complex configuration,generator with full configuration,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates valid Dart code structure,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates runtime import,OK/OK
,ReflectionAnalysisResult,empty result has zero counts,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates initialization function,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates reflectionApi variable,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates reflection data structure,OK/OK
,,creates analyzer instance,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has balanced braces,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has balanced parentheses,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has balanced brackets,OK/OK
,ReflectionGenerator - Code Generation Integration > invokers array generation,empty result generates empty invokers,OK/OK
,ReflectionGenerator - Code Generation Integration > package structure generation,empty result generates minimal package structure,OK/OK
,ReflectionGenerator - Code Generation Integration > generator state management,generator resets state between calls,OK/OK
,ReflectionGenerator - Code Generation Integration > generator state management,generator can be reused,OK/OK
